id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2166464-132,2024-06-04,,171617,Paulão,PT,AL,Não
2166464-132,2024-06-04,,74317,Júlio Cesar,PSD,PI,Não
2166464-132,2024-06-04,,160673,Giovani Cherini,PL,RS,Não
2166464-132,2024-06-04,,74398,Maria do Rosário,PT,RS,Não
2166464-132,2024-06-04,,74574,Paulo Magalhães,PSD,BA,Não
2166464-132,2024-06-04,,220691,Diego Coronel,PSD,BA,Não
2166464-132,2024-06-04,,204408,Gustinho Ribeiro,REPUBLICANOS,SE,Não
2166464-132,2024-06-04,,141459,João Maia,PP,RN,Não
2166464-132,2024-06-04,,220565,Delegada Adriana Accorsi,PT,GO,Sim
2166464-132,2024-06-04,,141391,Arnaldo Jardim,CIDADANIA,SP,Não
2166464-132,2024-06-04,,171786,Miguel Ângelo,PT,MG,Não
2166464-132,2024-06-04,,204457,Juninho do Pneu,UNIÃO,RJ,Não
2166464-132,2024-06-04,,220699,Castro Neto,PSD,PI,Não
2166464-132,2024-06-04,,228272,Délio Pinheiro,PDT,MG,Não
2166464-132,2024-06-04,,160629,Romero Rodrigues,PODE,PB,Não
2166464-132,2024-06-04,,123756,Antônia Lúcia,REPUBLICANOS,AC,Não
2166464-132,2024-06-04,,220694,Ricardo Maia,MDB,BA,Não
2166464-132,2024-06-04,,160556,Padre João,PT,MG,Não
2166464-132,2024-06-04,,220576,Alfredo Gaspar,UNIÃO,AL,Não
2166464-132,2024-06-04,,220569,Silvye Alves,UNIÃO,GO,Não
2166464-132,2024-06-04,,107970,Ana Paula Leão,PP,MG,Não
2166464-132,2024-06-04,,74646,Aécio Neves,PSDB,MG,Não
2166464-132,2024-06-04,,204553,Pastor Sargento Isidório,AVANTE,BA,Não
2166464-132,2024-06-04,,220665,Clarissa Tércio,PP,PE,Não
2166464-132,2024-06-04,,220667,Pedro Campos,PSB,PE,Não
2166464-132,2024-06-04,,220526,Gilvan da Federal,PL,ES,Não
2166464-132,2024-06-04,,204520,Junio Amaral,PL,MG,Não
2166464-132,2024-06-04,,220550,Mauricio Marcon,PODE,RS,Não
2166464-132,2024-06-04,,204550,Júnior Mano,PL,CE,Não
2166464-132,2024-06-04,,220594,Coronel Assis,UNIÃO,MT,Não
2166464-132,2024-06-04,,220673,Delegado Caveira,PL,PA,Não
2166464-132,2024-06-04,,220553,Denise Pessôa,PT,RS,Não
2166464-132,2024-06-04,,178927,Aliel Machado,PV,PR,Não
2166464-132,2024-06-04,,204501,Alencar Santana,PT,SP,Não
2166464-132,2024-06-04,,178970,João Daniel,PT,SE,Não
2166464-132,2024-06-04,,198197,Greyce Elias,AVANTE,MG,Não
2166464-132,2024-06-04,,220532,Rafael Prudente,MDB,DF,Não
2166464-132,2024-06-04,,220587,Gerlen Diniz,PP,AC,Não
2166464-132,2024-06-04,,220659,Dayany Bittencourt,UNIÃO,CE,Não
2166464-132,2024-06-04,,204369,Caroline de Toni,PL,SC,Não
2166464-132,2024-06-04,,220566,Lêda Borges,PSDB,GO,Não
2166464-132,2024-06-04,,209787,Nikolas Ferreira,PL,MG,Não
2166464-132,2024-06-04,,204445,Fernando Mineiro,PT,RN,Não
2166464-132,2024-06-04,,179001,Márcio Biolchi,MDB,RS,Não
2166464-132,2024-06-04,,220616,Luciano Vieira,REPUBLICANOS,RJ,Não
2166464-132,2024-06-04,,220625,Delegada Ione,AVANTE,MG,Não
2166464-132,2024-06-04,,223128,Rodrigo Estacho,PSD,PR,Não
2166464-132,2024-06-04,,163321,Ronaldo Nogueira,REPUBLICANOS,RS,Não
2166464-132,2024-06-04,,220631,Samuel Viana,REPUBLICANOS,MG,Não
2166464-132,2024-06-04,,133810,Marcelo Moraes,PL,RS,Não
2166464-132,2024-06-04,,160601,Pr. Marco Feliciano,PL,SP,Não
2166464-132,2024-06-04,,143632,Domingos Neto,PSD,CE,Não
2166464-132,2024-06-04,,204416,Sanderson,PL,RS,Não
2166464-132,2024-06-04,,160598,Flávia Morais,PDT,GO,Não
2166464-132,2024-06-04,,220555,Daiana Santos,PCdoB,RS,Não
2166464-132,2024-06-04,,220693,Roberta Roma,PL,BA,Não
2166464-132,2024-06-04,,74856,Laura Carneiro,PSD,RJ,Não
2166464-132,2024-06-04,,116379,Darci de Matos,PSD,SC,Não
2166464-132,2024-06-04,,204404,Lucas Redecker,PSDB,RS,Não
2166464-132,2024-06-04,,204518,Dr. Frederico,PRD,MG,Não
2166464-132,2024-06-04,,73441,Celso Russomanno,REPUBLICANOS,SP,Não
2166464-132,2024-06-04,,98057,Lafayette de Andrada,REPUBLICANOS,MG,Não
2166464-132,2024-06-04,,74057,Alice Portugal,PCdoB,BA,Não
2166464-132,2024-06-04,,204481,Dr. Jaziel,PL,CE,Não
2166464-132,2024-06-04,,220703,Neto Carletto,PP,BA,Não
2166464-132,2024-06-04,,204412,Dr. Zacharias Calil,UNIÃO,GO,Não
2166464-132,2024-06-04,,220623,Duda Salabert,PDT,MG,Não
2166464-132,2024-06-04,,204391,José Nelto,PP,GO,Não
2166464-132,2024-06-04,,178997,Moses Rodrigues,UNIÃO,CE,Não
2166464-132,2024-06-04,,204573,Otto Alencar Filho,PSD,BA,Não
2166464-132,2024-06-04,,220651,Simone Marquetto,MDB,SP,Não
2166464-132,2024-06-04,,220560,Thiago de Joaldo,PP,SE,Não
2166464-132,2024-06-04,,220653,Fábio Teruel,MDB,SP,Não
2166464-132,2024-06-04,,178908,Delegado Éder Mauro,PL,PA,Não
2166464-132,2024-06-04,,220547,Marcos Pollon,PL,MS,Não
2166464-132,2024-06-04,,74044,Wilson Santiago,REPUBLICANOS,PB,Não
2166464-132,2024-06-04,,220546,Rodolfo Nogueira,PL,MS,Não
2166464-132,2024-06-04,,178946,Soraya Santos,PL,RJ,Não
2166464-132,2024-06-04,,222142,Coronel Telhada,PP,SP,Sim
2166464-132,2024-06-04,,220554,Alexandre Lindenmeyer,PT,RS,Não
2166464-132,2024-06-04,,204351,Dr. Luiz Ovando,PP,MS,Não
2166464-132,2024-06-04,,220548,Camila Jara,PT,MS,Não
2166464-132,2024-06-04,,209189,Joseildo Ramos,PT,BA,Não
2166464-132,2024-06-04,,74371,Rubens Otoni,PT,GO,Não
2166464-132,2024-06-04,,160535,Marcon,PT,RS,Não
2166464-132,2024-06-04,,228837,Juliana Kolankiewicz,MDB,MT,Não
2166464-132,2024-06-04,,220689,Detinha,PL,MA,Não
2166464-132,2024-06-04,,160518,Weliton Prado,SOLIDARIEDADE,MG,Não
2166464-132,2024-06-04,,204506,Marcos Pereira,REPUBLICANOS,SP,Não
2166464-132,2024-06-04,,204361,Carlos Chiodini,MDB,SC,Não
2166464-132,2024-06-04,,220706,Padovani,UNIÃO,PR,Não
2166464-132,2024-06-04,,205476,Charles Fernandes,PSD,BA,Não
2166464-132,2024-06-04,,220567,Jeferson Rodrigues,REPUBLICANOS,GO,Não
2166464-132,2024-06-04,,226708,Allan Garcês,PP,MA,Não
2166464-132,2024-06-04,,160538,Bohn Gass,PT,RS,Não
2166464-132,2024-06-04,,178884,Hildo Rocha,MDB,MA,Não
2166464-132,2024-06-04,,74537,Claudio Cajado,PP,BA,Não
2166464-132,2024-06-04,,204559,Zé Neto,PT,BA,Não
2166464-132,2024-06-04,,204455,Luiz Lima,PL,RJ,Não
2166464-132,2024-06-04,,220682,Tadeu Veneri,PT,PR,Não
2166464-132,2024-06-04,,220604,Marcos Tavares,PDT,RJ,Não
2166464-132,2024-06-04,,204563,Josimar Maranhãozinho,PL,MA,Não
2166464-132,2024-06-04,,220655,Mario Frias,PL,SP,Não
2166464-132,2024-06-04,,74376,Vander Loubet,PT,MS,Não
2166464-132,2024-06-04,,160559,Alceu Moreira,MDB,RS,Não
2166464-132,2024-06-04,,74060,Daniel Almeida,PCdoB,BA,Não
2166464-132,2024-06-04,,220647,Mauricio Neves,PP,SP,Não
2166464-132,2024-06-04,,178964,Heitor Schuch,PSB,RS,Não
2166464-132,2024-06-04,,204398,Felipe Francischini,UNIÃO,PR,Não
2166464-132,2024-06-04,,204406,Pedro Westphalen,PP,RS,Não
2166464-132,2024-06-04,,204472,José Medeiros,PL,MT,Não
2166464-132,2024-06-04,,227991,Dr Flávio,PL,RJ,Não
2166464-132,2024-06-04,,220607,Max Lemos,PDT,RJ,Não
2166464-132,2024-06-04,,74454,Eunício Oliveira,MDB,CE,Não
2166464-132,2024-06-04,,104552,Socorro Neri,PP,AC,Não
2166464-132,2024-06-04,,220530,Messias Donato,REPUBLICANOS,ES,Não
2166464-132,2024-06-04,,160642,Pastor Eurico,PL,PE,Não
2166464-132,2024-06-04,,220597,Thiago Flores,REPUBLICANOS,RO,Não
2166464-132,2024-06-04,,221328,Adilson Barroso,PL,SP,Não
2166464-132,2024-06-04,,74696,Alberto Mourão,MDB,SP,Não
2166464-132,2024-06-04,,156190,Marcel van Hattem,NOVO,RS,Não
2166464-132,2024-06-04,,221378,Reginete Bispo,PT,RS,Não
2166464-132,2024-06-04,,141458,João Carlos Bacelar,PL,BA,Não
2166464-132,2024-06-04,,178933,Sergio Souza,MDB,PR,Não
2166464-132,2024-06-04,,204566,Marreca Filho,PRD,MA,Não
2166464-132,2024-06-04,,204572,Capitão Alberto Neto,PL,AM,Não
2166464-132,2024-06-04,,220657,André Fernandes,PL,CE,Não
2166464-132,2024-06-04,,220663,Eriberto Medeiros,PSB,PE,Não
2166464-132,2024-06-04,,220592,Zezinho Barbary,PP,AC,Não
2166464-132,2024-06-04,,204364,Eli Borges,PL,TO,Não
2166464-132,2024-06-04,,220644,Rosangela Moro,UNIÃO,SP,Não
2166464-132,2024-06-04,,204394,Gervásio Maia,PSB,PB,Não
2166464-132,2024-06-04,,220586,Rafael Brito,MDB,AL,Não
2166464-132,2024-06-04,,220621,Sargento Gonçalves,PL,RN,Abstenção
2166464-132,2024-06-04,,204534,Tabata Amaral,PSB,SP,Não
2166464-132,2024-06-04,,220590,Coronel Ulysses,UNIÃO,AC,Não
2166464-132,2024-06-04,,160161,Marcelo Queiroz,PP,RJ,Não
2166464-132,2024-06-04,,165470,Rodrigo Valadares,UNIÃO,SE,Não
2166464-132,2024-06-04,,178931,Luciano Ducci,PSB,PR,Não
2166464-132,2024-06-04,,162067,Kiko Celeguim,PT,SP,Não
2166464-132,2024-06-04,,220609,Maurício Carvalho,UNIÃO,RO,Não
2166464-132,2024-06-04,,141421,Eduardo da Fonte,PP,PE,Não
2166464-132,2024-06-04,,220714,Adail Filho,REPUBLICANOS,AM,Não
2166464-132,2024-06-04,,226179,Gisela Simona,UNIÃO,MT,Não
2166464-132,2024-06-04,,180214,Pastor Diniz,UNIÃO,RR,Não
2166464-132,2024-06-04,,81055,Márcio Jerry,PCdoB,MA,Não
2166464-132,2024-06-04,,178993,Carlos Henrique Gaguim,UNIÃO,TO,Não
2166464-132,2024-06-04,,205550,Jorge Braz,REPUBLICANOS,RJ,Não
2166464-132,2024-06-04,,74095,Pauderney Avelino,UNIÃO,AM,Não
2166464-132,2024-06-04,,141487,Luiz Fernando Faria,PSD,MG,Não
2166464-132,2024-06-04,,220697,Jadyel Alencar,REPUBLICANOS,PI,Não
2166464-132,2024-06-04,,220666,Coronel Meira,PL,PE,Não
2166464-132,2024-06-04,,92776,Stefano Aguiar,PSD,MG,Não
2166464-132,2024-06-04,,160548,Jonas Donizette,PSB,SP,Não
2166464-132,2024-06-04,,204388,Bibo Nunes,PL,RS,Não
2166464-132,2024-06-04,,204459,Daniela do Waguinho,UNIÃO,RJ,Não
2166464-132,2024-06-04,,74467,Damião Feliciano,UNIÃO,PB,Não
2166464-132,2024-06-04,,157130,Túlio Gadêlha,REDE,PE,Não
2166464-132,2024-06-04,,220599,Marcelo Crivella,REPUBLICANOS,RJ,Não
2166464-132,2024-06-04,,178835,Afonso Motta,PDT,RS,Não
2166464-132,2024-06-04,,74383,Giacobo,PL,PR,Não
2166464-132,2024-06-04,,178989,Renata Abreu,PODE,SP,Não
2166464-132,2024-06-04,,220695,Rogéria Santos,REPUBLICANOS,BA,Não
2166464-132,2024-06-04,,74848,Jandira Feghali,PCdoB,RJ,Não
2166464-132,2024-06-04,,220664,Guilherme Uchoa,PSB,PE,Não
2166464-132,2024-06-04,,69871,Bacelar,PV,BA,Não
2166464-132,2024-06-04,,220649,Delegado da Cunha,PP,SP,Não
2166464-132,2024-06-04,,220662,Lucas Ramos,PSB,PE,Não
2166464-132,2024-06-04,,220598,Tarcísio Motta,PSOL,RJ,Não
2166464-132,2024-06-04,,80815,Leo Prates,PDT,BA,Não
2166464-132,2024-06-04,,220595,Coronel Fernanda,PL,MT,Não
2166464-132,2024-06-04,,220652,Delegado Palumbo,MDB,SP,Não
2166464-132,2024-06-04,,220669,Lula da Fonte,PP,PE,Não
2166464-132,2024-06-04,,178972,Alex Manente,CIDADANIA,SP,Não
2166464-132,2024-06-04,,204387,Sargento Fahur,PSD,PR,Não
2166464-132,2024-06-04,,220656,Fernanda Pessoa,UNIÃO,CE,Não
2166464-132,2024-06-04,,73531,Ivan Valente,PSOL,SP,Não
2166464-132,2024-06-04,,178909,Hélio Leite,UNIÃO,PA,Não
2166464-132,2024-06-04,,204419,Glaustin da Fokus,PODE,GO,Não
2166464-132,2024-06-04,,204422,Ossesio Silva,REPUBLICANOS,PE,Não
2166464-132,2024-06-04,,204485,Luiz Carlos Motta,PL,SP,Não
2166464-132,2024-06-04,,220619,Delegado Ramagem,PL,RJ,Não
2166464-132,2024-06-04,,136811,Afonso Hamm,PP,RS,Não
2166464-132,2024-06-04,,220580,Professora Goreth,PDT,AP,Não
2166464-132,2024-06-04,,220630,Pedro Aihara,PRD,MG,Não
2166464-132,2024-06-04,,98148,Cobalchini,MDB,SC,Não
2166464-132,2024-06-04,,74550,João Leão,PP,BA,Não
2166464-132,2024-06-04,,74043,Wellington Roberto,PL,PB,Não
2166464-132,2024-06-04,,205865,Reinhold Stephanes,PSD,PR,Não
2166464-132,2024-06-04,,220681,Fábio Macedo,PODE,MA,Não
2166464-132,2024-06-04,,139285,Lídice da Mata,PSB,BA,Não
2166464-132,2024-06-04,,160588,Diego Andrade,PSD,MG,Não
2166464-132,2024-06-04,,74262,Carlos Sampaio,PSD,SP,Não
2166464-132,2024-06-04,,160604,Pedro Uczai,PT,SC,Não
2166464-132,2024-06-04,,220574,Cabo Gilberto Silva,PL,PB,Não
2166464-132,2024-06-04,,204409,Daniel Trzeciak,PSDB,RS,Não
2166464-132,2024-06-04,,228616,Dr. Remy Soares,PP,MA,Não
2166464-132,2024-06-04,,141411,Dagoberto Nogueira,PSDB,MS,Não
2166464-132,2024-06-04,,161440,Pezenti,MDB,SC,Não
2166464-132,2024-06-04,,227660,Nitinho,PSD,SE,Não
2166464-132,2024-06-04,,204449,Nelson Barbudo,PL,MT,Não
2166464-132,2024-06-04,,220581,Luciano Amaral,PV,AL,Não
2166464-132,2024-06-04,,74374,Geraldo Resende,PSDB,MS,Não
2166464-132,2024-06-04,,123086,Átila Lira,PP,PI,Não
2166464-132,2024-06-04,,204395,Pedro Lupion,PP,PR,Não
2166464-132,2024-06-04,,204479,Nicoletti,UNIÃO,RR,Não
2166464-132,2024-06-04,,160558,Paulo Freire Costa,PL,SP,Não
2166464-132,2024-06-04,,220557,Daniela Reinehr,PL,SC,Não
2166464-132,2024-06-04,,204535,Sâmia Bomfim,PSOL,SP,Não
2166464-132,2024-06-04,,220584,Murilo Galdino,REPUBLICANOS,PB,Não
2166464-132,2024-06-04,,92346,Eduardo Bolsonaro,PL,SP,Não
2166464-132,2024-06-04,,178929,Diego Garcia,REPUBLICANOS,PR,Não
2166464-132,2024-06-04,,160610,Valmir Assunção,PT,BA,Não
2166464-132,2024-06-04,,178866,Luizianne Lins,PT,CE,Não
2166464-132,2024-06-04,,220558,Zé Trovão,PL,SC,Não
2166464-132,2024-06-04,,74079,José Priante,MDB,PA,Não
2166464-132,2024-06-04,,220641,Rodrigo Gambale,PODE,SP,Não
2166464-132,2024-06-04,,220677,Keniston Braga,MDB,PA,Não
2166464-132,2024-06-04,,220571,Daniel Agrobom,PL,GO,Não
2166464-132,2024-06-04,,220627,Paulinho Freire,UNIÃO,RN,Não
2166464-132,2024-06-04,,220611,General Pazuello,PL,RJ,Não
2166464-132,2024-06-04,,178985,Miguel Lombardi,PL,SP,Não
2166464-132,2024-06-04,,204426,Carlos Veras,PT,PE,Não
2166464-132,2024-06-04,,204539,Hercílio Coelho Diniz,MDB,MG,Não
2166464-132,2024-06-04,,178843,Marx Beltrão,PP,AL,Não
2166464-132,2024-06-04,,73778,Luiz Carlos Hauly,PODE,PR,Não
2166464-132,2024-06-04,,220603,Dani Cunha,UNIÃO,RJ,Não
2166464-132,2024-06-04,,92102,Leur Lomanto Júnior,UNIÃO,BA,Não
2166464-132,2024-06-04,,204462,Chris Tonietto,PL,RJ,Não
2166464-132,2024-06-04,,220563,Icaro de Valmir,PL,SE,Não
2166464-132,2024-06-04,,220570,Dr. Ismael Alexandrino,PSD,GO,Não
2166464-132,2024-06-04,,160665,Augusto Coutinho,REPUBLICANOS,PE,Não
2166464-132,2024-06-04,,198783,Emanuel Pinheiro Neto,MDB,MT,Não
2166464-132,2024-06-04,,224117,Gabriel Mota,REPUBLICANOS,RR,Não
2166464-132,2024-06-04,,74084,Raimundo Santos,PSD,PA,Não
2166464-132,2024-06-04,,220692,Dal Barreto,UNIÃO,BA,Não
2166464-132,2024-06-04,,223398,Ulisses Guimarães,MDB,MG,Não
2166464-132,2024-06-04,,73801,Renildo Calheiros,PCdoB,PE,Não
2166464-132,2024-06-04,,109429,Benes Leocádio,UNIÃO,RN,Não
2166464-132,2024-06-04,,204525,Rosana Valle,PL,SP,Não
2166464-132,2024-06-04,,204574,Junior Lourenço,PL,MA,Não
2166464-132,2024-06-04,,220564,Yandra Moura,UNIÃO,SE,Não
2166464-132,2024-06-04,,220591,Meire Serafim,UNIÃO,AC,Não
2166464-132,2024-06-04,,74585,Lincoln Portela,PL,MG,Não
2166464-132,2024-06-04,,160640,Eros Biondini,PL,MG,Não
2166464-132,2024-06-04,,204441,Otoni de Paula,MDB,RJ,Não
2166464-132,2024-06-04,,221339,Dr. Benjamim,UNIÃO,MA,Não
2166464-132,2024-06-04,,91228,Waldemar Oliveira,AVANTE,PE,Não
2166464-132,2024-06-04,,220539,Defensor Stélio Dener,REPUBLICANOS,RR,Não
2166464-132,2024-06-04,,204355,Da Vitoria,PP,ES,Não
2166464-132,2024-06-04,,204498,Olival Marques,MDB,PA,Não
2166464-132,2024-06-04,,220648,Marangoni,UNIÃO,SP,Não
2166464-132,2024-06-04,,73768,Dilceu Sperafico,PP,PR,Não
2166464-132,2024-06-04,,74273,Jefferson Campos,PL,SP,Não
2166464-132,2024-06-04,,204488,Célio Studart,PSD,CE,Não
2166464-132,2024-06-04,,141450,Hugo Leal,PSD,RJ,Não
2166464-132,2024-06-04,,204507,Carla Zambelli,PL,SP,Não
2166464-132,2024-06-04,,220624,Robinson Faria,PL,RN,Não
2166464-132,2024-06-04,,73486,Pompeo de Mattos,PDT,RS,Não
2166464-132,2024-06-04,,74141,Josias Gomes,PT,BA,Não
2166464-132,2024-06-04,,178966,Geovania de Sá,PSDB,SC,Não
2166464-132,2024-06-04,,219585,Marco Brasil,PP,PR,Não
2166464-132,2024-06-04,,222429,Luis Carlos Gomes,REPUBLICANOS,RJ,Não
2166464-132,2024-06-04,,160545,Alexandre Leite,UNIÃO,SP,Não
2166464-132,2024-06-04,,178987,Orlando Silva,PCdoB,SP,Não
2166464-132,2024-06-04,,204528,Adriana Ventura,NOVO,SP,Não
2166464-132,2024-06-04,,220688,Dr. Francisco,PT,PI,Não
2166464-132,2024-06-04,,98615,Ismael,PSD,SC,Não
2166464-132,2024-06-04,,204541,Eduardo Bismarck,PDT,CE,Não
2166464-132,2024-06-04,,220543,Ricardo Ayres,REPUBLICANOS,TO,Não
2166464-132,2024-06-04,,220638,Antonio Carlos Rodrigues,PL,SP,Não
2166464-132,2024-06-04,,160599,Dimas Fabiano,PP,MG,Não
2166464-132,2024-06-04,,224333,Welter,PT,PR,Não
2166464-132,2024-06-04,,227433,Douglas Viegas,UNIÃO,SP,Não
2166464-132,2024-06-04,,226837,Saulo Pedroso,PSD,SP,Não
2166464-132,2024-06-04,,74283,Vicentinho,PT,SP,Não
2166464-132,2024-06-04,,204356,Amaro Neto,REPUBLICANOS,ES,Não
2166464-132,2024-06-04,,160666,Félix Mendonça Júnior,PDT,BA,Não
2166464-132,2024-06-04,,166402,Magda Mofatto,PRD,GO,Não
2166464-132,2024-06-04,,204571,Alex Santana,REPUBLICANOS,BA,Não
2166464-132,2024-06-04,,206018,Célia Xakriabá,PSOL,MG,Não
2166464-132,2024-06-04,,220600,Lebrão,UNIÃO,RO,Não
2166464-132,2024-06-04,,220613,Roberto Monteiro Pai,PL,RJ,Não
2166464-132,2024-06-04,,218086,Ely Santos,REPUBLICANOS,SP,Não
2166464-132,2024-06-04,,73604,Rui Falcão,PT,SP,Não
2166464-132,2024-06-04,,178895,Misael Varella,PSD,MG,Não
2166464-132,2024-06-04,,220635,Bruno Ganem,PODE,SP,Não
2166464-132,2024-06-04,,220671,Dilvanda Faro,PT,PA,Não
2166464-132,2024-06-04,,74090,Átila Lins,PSD,AM,Não
2166464-132,2024-06-04,,220540,Duda Ramos,MDB,RR,Não
2166464-132,2024-06-04,,220676,Andreia Siqueira,MDB,PA,Não
2166464-132,2024-06-04,,179000,Marcelo Álvaro Antônio,PL,MG,Não
2166464-132,2024-06-04,,178937,Altineu Côrtes,PL,RJ,Não
2166464-132,2024-06-04,,188097,Merlong Solano,PT,PI,Não
2166464-132,2024-06-04,,220589,Eduardo Velloso,UNIÃO,AC,Não
2166464-132,2024-06-04,,220608,Cristiane Lopes,UNIÃO,RO,Não
2166464-132,2024-06-04,,220686,Duarte Jr.,PSB,MA,Não
2166464-132,2024-06-04,,141408,Cleber Verde,MDB,MA,Não
2166464-132,2024-06-04,,141480,Lázaro Botelho,PP,TO,Não
2166464-132,2024-06-04,,160635,Ruy Carneiro,PODE,PB,Não
2166464-132,2024-06-04,,204444,Helio Lopes,PL,RJ,Não
2166464-132,2024-06-04,,204495,Airton Faleiro,PT,PA,Não
2166464-132,2024-06-04,,204557,Sidney Leite,PSD,AM,Não
2166464-132,2024-06-04,,220683,Beto Richa,PSDB,PR,Não
2166464-132,2024-06-04,,220700,Florentino Neto,PT,PI,Não
2166464-132,2024-06-04,,74253,Julio Lopes,PP,RJ,Não
2166464-132,2024-06-04,,178876,Célio Silveira,MDB,GO,Não
2166464-132,2024-06-04,,178881,Aluisio Mendes,REPUBLICANOS,MA,Não
2166464-132,2024-06-04,,220579,Silvia Waiãpi,PL,AP,Não
2166464-132,2024-06-04,,133439,André Figueiredo,PDT,CE,Não
2166464-132,2024-06-04,,160575,Erika Kokay,PT,DF,Não
2166464-132,2024-06-04,,204480,Rogério Correia,PT,MG,Não
2166464-132,2024-06-04,,191923,Flávio Nogueira,PT,PI,Não
2166464-132,2024-06-04,,220713,Saullo Vianna,UNIÃO,AM,Não
2166464-132,2024-06-04,,152605,Glauber Braga,PSOL,RJ,Não
2166464-132,2024-06-04,,162332,Luiz Nishimori,PSD,PR,Não
2166464-132,2024-06-04,,220605,Bandeira de Mello,PSB,RJ,Não
2166464-132,2024-06-04,,178910,Joaquim Passarinho,PL,PA,Não
2166464-132,2024-06-04,,228797,Júlio Oliveira,PP,TO,Não
2166464-132,2024-06-04,,74784,Luiza Erundina,PSOL,SP,Não
2166464-132,2024-06-04,,178983,Marcio Alvino,PL,SP,Não
2166464-132,2024-06-04,,220626,Rafael Simoes,UNIÃO,MG,Não
2166464-132,2024-06-04,,204368,Fabio Schiochet,UNIÃO,SC,Não
2166464-132,2024-06-04,,220588,Roberto Duarte,REPUBLICANOS,AC,Não
2166464-132,2024-06-04,,220618,Sargento Portugal,PODE,RJ,Não
2166464-132,2024-06-04,,141470,José Guimarães,PT,CE,Não
2166464-132,2024-06-04,,160569,Waldenor Pereira,PT,BA,Não
2166464-132,2024-06-04,,178934,Toninho Wandscheer,PP,PR,Não
2166464-132,2024-06-04,,74299,Leônidas Cristino,PDT,CE,Não
2166464-132,2024-06-04,,204512,Delegado Marcelo Freitas,UNIÃO,MG,Não
2166464-132,2024-06-04,,220552,Zucco,PL,RS,Não
2166464-132,2024-06-04,,220668,Maria Arraes,SOLIDARIEDADE,PE,Não
2166464-132,2024-06-04,,178858,Mário Negromonte Jr.,PP,BA,Não
2166464-132,2024-06-04,,220531,Gilvan Maximo,REPUBLICANOS,DF,Não
2166464-132,2024-06-04,,74554,José Rocha,UNIÃO,BA,Não
2166464-132,2024-06-04,,92699,Fernando Monteiro,PP,PE,Não
2166464-132,2024-06-04,,122974,Pedro Lucas Fernandes,UNIÃO,MA,Não
2166464-132,2024-06-04,,220577,Augusto Puppio,MDB,AP,Não
2166464-132,2024-06-04,,204486,Mauro Benevides Filho,PDT,CE,Não
2166464-132,2024-06-04,,220670,Iza Arruda,MDB,PE,Não
2166464-132,2024-06-04,,73433,Arlindo Chinaglia,PT,SP,Não
2166464-132,2024-06-04,,204473,General Girão,PL,RN,Não
2166464-132,2024-06-04,,178860,Paulo Azi,UNIÃO,BA,Não
2166464-132,2024-06-04,,204491,Gilberto Abramo,REPUBLICANOS,MG,Não
2166464-132,2024-06-04,,221148,Alfredinho,PT,SP,Não
2166464-132,2024-06-04,,204374,Bia Kicis,PL,DF,Não
2166464-132,2024-06-04,,204517,Zé Vitor,PL,MG,Não
2166464-132,2024-06-04,,220687,Márcio Honaiser,PDT,MA,Não
2166464-132,2024-06-04,,204492,Paulo Guedes,PT,MG,Não
2166464-132,2024-06-04,,204567,Raimundo Costa,PODE,BA,Não
2166464-132,2024-06-04,,220544,Antonio Andrade,REPUBLICANOS,TO,Não
2166464-132,2024-06-04,,220593,Abilio Brunini,PL,MT,Não
2166464-132,2024-06-04,,73579,Alberto Fraga,PL,DF,Não
2166464-132,2024-06-04,,220545,Filipe Martins,PL,TO,Não
2166464-132,2024-06-04,,141531,Rodrigo de Castro,UNIÃO,MG,Não
2166464-132,2024-06-04,,220696,Ivoneide Caetano,PT,BA,Não
2166464-132,2024-06-04,,204378,Coronel Chrisóstomo,PL,RO,Não
2166464-132,2024-06-04,,220578,Josenildo,PDT,AP,Não
2166464-132,2024-06-04,,220661,Matheus Noronha,PL,CE,Não
2166464-132,2024-06-04,,153423,Renilce Nicodemos,MDB,PA,Não
2166464-132,2024-06-04,,178954,Lucio Mosquini,MDB,RO,Não
2166464-132,2024-06-04,,204360,Silvia Cristina,PL,RO,Não
2166464-132,2024-06-04,,220650,Paulo Alexandre Barbosa,PSDB,SP,Não
2166464-132,2024-06-04,,73701,Benedita da Silva,PT,RJ,Não
2166464-132,2024-06-04,,74159,Odair Cunha,PT,MG,Não
2166464-132,2024-06-04,,204396,Vermelho,PL,PR,Não
2166464-132,2024-06-04,,220701,Delegado Matheus Laiola,UNIÃO,PR,Não
2166464-132,2024-06-04,,141456,Jilmar Tatto,PT,SP,Não
2166464-132,2024-06-04,,178986,Nilto Tatto,PT,SP,Não
2166464-132,2024-06-04,,204411,Filipe Barros,PL,PR,Não
2166464-132,2024-06-04,,220612,Bebeto,PP,RJ,Não
2166464-132,2024-06-04,,220533,Prof. Reginaldo Veras,PV,DF,Não
2166464-132,2024-06-04,,220672,Henderson Pinto,MDB,PA,Não
2166464-132,2024-06-04,,220527,Jack Rocha,PT,ES,Não
2166464-132,2024-06-04,,220660,Yury do Paredão,MDB,CE,Não
2166464-132,2024-06-04,,204570,Pastor Gil,PL,MA,Não
2166464-132,2024-06-04,,220640,Juliana Cardoso,PT,SP,Não
2166464-132,2024-06-04,,220602,Dimas Gadelha,PT,RJ,Não
